,Decibel,Island,Lat,Lon,Model,Name,POINT_X,POINT_Y,Range_ft,Siren,Solar,OBJECTID,GlobalID
31,115,Maui,20.823391927,-156.329833255,MOD3012,Kulamalu,1755445.70244641,178108.97880533,2200 Feet,MA134,YES,36,462be9e4-c137-4a78-ac8c-b943166107fe
32,115,Maui,20.9239944286,-156.493679225,MOD3012,Waiehu Beach Park,1699582.27480341,214109.56395624,2200 Feet,MA135,YES,37,692808b1-04d8-4533-8529-aa7ca9224dad
33,121,Maui,20.7970816642,-156.503613278,DSA6/6/4,Haycraft Park,1696079.58430225,168480.23493949,3400 Feet,MA136,YES,38,6a991013-e40b-453f-bc0f-a64e84fa8b51
34,121,Maui,20.7743542786,-156.460315693,DSA6/6/4,Mai Poina Oe Lau Park,1710908.07826725,160227.45190441,3400 Feet,MA137,YES,39,82378239-9ded-4a73-a41a-b23481e2f8de
35,,Maui,,,,Paia Youth & Culture Club,1736866.46959183,211372.94344524,,MA142,,40,1091e0a4-10aa-4644-abcf-c2dfd610bdae
36, ,Maui,0.0,0.0, ,Wailea-Makena,1718487.39053641,122838.16972774,3400 Feet,MA156, ,41,3e366c3b-beb0-4ea1-af6f-e092105bde96
37,,Maui,,,,Makena Waste Water Treatment,1720970.06372066,114045.67812641,,MA157,,42,14590cd0-c5c7-4443-aaa5-8fae04af651a
38,,Maui,,,,Big Beach,1716419.87039325,109751.52431316,,MA158,,43,5f1b809c-dc36-4b77-b69f-dd54a7d551b3
39,,Maui,,,,Kihei Community Center,1715680.96504691,150962.55639224,,MA159,,44,47f8572e-161e-4826-8ba8-547b65d35afb
40,115,Maui,20.7529838664,-155.984637391,MOD3012,Hana,1873441.57767466,152907.75066458,2200 Feet,MA301,YES,45,736f020f-90f3-49af-9c3a-cbae7af0611d
41,115,Maui,20.857342623,-156.145064882,EOWS1212,Keanae Lookout,1818492.66985616,190656.21519374,2200 Feet,MA302,NO,46,8baa91f2-4cff-4bc8-877b-592a71996c59
42,121,Maui,20.8479679438,-156.135606689,MOD6024,Wailua,1821792.25348008,187179.15587491,3400 Feet,MA303,YES,47,ee48048e-3a2a-42f0-875a-e3aef7a89207
43,115,Maui,20.7199661032,-155.988326426,MOD3012,Hamoa,1872226.92229558,140916.90095866,2200 Feet,MA304,YES,48,bfbe106d-6f64-460a-ac01-b32662a084fc
44,,Maui,,,,Hamoa II,1873479.12549983,142213.87277415,,MA304A,,49,c03fccfa-f735-48d0-957a-f408f6f53712
45,115,Maui,20.7865606878,-156.002298834,MOD3012,Wainapanapa,1867339.21651983,165102.17115758,2200 Feet,MA305,YES,50,4a29cbb2-11a0-448d-abbd-fea86bbd39e1
46,115,Maui,20.7768425902,-156.001420948,MOD3012,Hana High & Elementary School,1867673.39925041,161562.80815757,2200 Feet,MA306,YES,51,b3b83417-8799-4f4f-b8b1-f0337d60926f
47,115,Maui,20.8102809566,-156.613837593,MOD3012,Olowalu,1658457.78815491,173241.43407849,2200 Feet,MA401,YES,52,d68a1b9f-d682-4a44-a863-a2227b4bf188
